EMPLOYEECODE,applied_day_of_week,applied_month,LVREASON,ADNLINFO,HALFDAY,LEAVECODE,leave_days,ELBALANCE,HPLBALANCE,total_past_leaves,approval_status
AC00653,5.0,10.0,RELIGIOUS FESTIVAL,NONE,NO,EL,5,303.0,263.0,9,1
AC00653,6.0,8.0,GOING TO AH'BAD,NONE,NO,EL,5,308.0,263.0,9,1
AC00653,6.0,1.0,NOT WELL,NONE,NO,EL,1,302.0,263.0,9,1
AC00653,4.0,4.0,BACK ACHE & KNEE PAIN,NONE,NO,CMC,12,300.0,246.0,9,1
AC05119,3.0,6.0,PERSONAL WORK,NONE,NO,EL,3,300.0,684.0,1,1
AC05125,1.0,12.0,PERSONAL WORK,NONE,NO,EL,3,300.0,536.0,20,1
AC05125,5.0,7.0,SELF WAS NOT WELL,NONE,NO,EL,3,312.0,664.0,20,1
AC05125,3.0,8.0,VISITING AJMER (RAJ.),NONE,NO,EL,2,310.0,664.0,20,1
AC05125,6.0,8.0,NOT WELL,NONE,NO,EL,2,308.0,664.0,20,1
AC05125,5.0,9.0,EARNED LEAVE,NONE,NO,EL,3,305.0,664.0,20,1
AC05125,2.0,11.0,NOT WELL,NONE,NO,EL,4,301.0,664.0,20,1
AC05125,4.0,1.0,NOT WELL,NONE,NO,EL,4,311.0,546.0,20,1
AC05125,3.0,6.0,NOT WELL,NONE,NO,CMC,168,311.0,210.0,20,1
AC05125,4.0,7.0,NOT WELL,NONE,NO,EL,2,313.0,614.0,20,1
AC05125,3.0,2.0,NOT WELL,NONE,NO,EL,5,308.0,674.0,20,1
AC05125,4.0,3.0,PERSONAL WORK,NONE,NO,EL,2,306.0,674.0,20,1
AC05125,2.0,1.0,PERSONAL WORK,NONE,NO,EL,2,313.0,674.0,20,1
AC05125,2.0,7.0,PERSONAL WORK,NONE,NO,EL,3,307.0,216.0,20,1
AC05125,2.0,8.0,NOT WELL,NONE,NO,EL,12,295.0,216.0,20,1
AC05125,2.0,9.0,NOT WELL,NONE,NO,CMC,32,295.0,152.0,20,1
AC05125,2.0,8.0,NOT WELL,NONE,NO,CMC,39,313.0,536.0,20,1
AC05125,6.0,6.0,HOSPITALIZED IN EMERGENCY,NONE,NO,CMC,35,306.0,604.0,20,1
AC05125,2.0,9.0,PERSONAL WORK,NONE,NO,EL,2,311.0,536.0,20,1
AC05125,2.0,10.0,PERSONAL WORK,NONE,NO,EL,5,306.0,536.0,20,1
AC05125,5.0,11.0,PERSONAL WORK,NONE,NO,EL,3,303.0,536.0,20,1
AC05185,4.0,6.0,LTC TO HOME TOWN(JHANSI),NONE,NO,EL,2,313.0,520.0,4,1
AC05185,3.0,8.0,PERSONAL,NONE,NO,EL,3,305.0,525.0,4,1
AC05185,2.0,9.0,VISITING SAC AHMEDABAD,NONE,NO,EL,4,301.0,525.0,4,1
AC05185,5.0,9.0,PERSONAL WORK,NONE,NO,EL,1,300.0,525.0,4,1
AC05274,3.0,12.0,PERSONAL WORK,NONE,NO,EL,2,309.0,654.0,14,1
AC05274,6.0,12.0,PERSONAL WORK,NONE,NO,EL,4,305.0,654.0,14,1
AC05274,3.0,6.0,PERSONAL WORK,NONE,NO,EL,5,310.0,684.0,14,1
AC05274,5.0,12.0,PERSONAL WORK,NONE,NO,EL,5,303.0,674.0,14,1
AC05274,2.0,12.0,PERSONAL WORK,NONE,NO,EL,3,300.0,674.0,14,1
AC05274,6.0,2.0,PERSONAL,NONE,NO,EL,3,312.0,644.0,14,1
AC05274,6.0,10.0,LTC TO HT,NONE,NO,SCL,1,310.0,684.0,14,1
AC05274,2.0,9.0,PERSONAL WORK,NONE,NO,EL,2,313.0,674.0,14,1
AC05274,5.0,10.0,PERSONAL WORK,NONE,NO,EL,1,312.0,674.0,14,1
AC05274,6.0,11.0,PERSONAL WORK,NONE,NO,EL,4,308.0,674.0,14,1
AC05274,2.0,2.0,PERSONAL WORK,NONE,NO,EL,5,310.0,664.0,14,1
AC05274,3.0,9.0,PERSONAL WORK,NONE,NO,EL,3,312.0,634.0,14,1
AC05274,3.0,9.0,MOTHER EXPIRED,NONE,NO,EL,4,311.0,654.0,14,1
AC05274,3.0,3.0,PERSONAL REASON,NONE,NO,EL,5,305.0,664.0,14,1
AC06225,6.0,6.0,SHIFTING FAMILY FROM SAC,NONE,NO,EL,5,286.0,320.0,51,1
AC06225,6.0,5.0,LTC TO HT,NONE,NO,EL,4,305.0,352.0,51,0
AC06225,6.0,5.0,LTC TO HT,NONE,NO,EL,4,303.0,352.0,51,0
AC06225,4.0,3.0,ltc to ht,NONE,NO,EL,5,310.0,320.0,51,1
AC06225,4.0,3.0,ltc to ht,NONE,NO,SCL,1,310.0,320.0,51,1
AC06225,5.0,9.0,MEDICAL EXIGENCY OF SPOUSE,NONE,NO,EL,3,310.0,362.0,51,1
AC06225,2.0,7.0,PERSONAL,NONE,NO,EL,2,313.0,362.0,51,1
AC06225,4.0,4.0,MEDICAL,NONE,NO,CMC,1,0.0,322.0,51,0
AC06225,4.0,4.0,MEDICAL,NONE,NO,CMC,1,0.0,322.0,51,1
AC06225,4.0,4.0,MEDICAL,NONE,NO,CMC,85,291.0,320.0,51,1
AC06225,4.0,9.0,VISIT AILING RELATION,NONE,NO,EL,4,297.0,330.0,51,1
AC06225,3.0,3.0,MEDICAL,NONE,NO,CMC,1,300.0,318.0,51,1
AC06225,2.0,9.0,MEDICAL,NONE,NO,CMC,3,315.0,360.0,51,1
AC06225,5.0,3.0,SPOUSE HOSPITALISED,NONE,NO,EL,5,305.0,352.0,51,1
AC06225,6.0,4.0,EPIGASTRIC DISCOMFORT,NONE,NO,EMC,30,0.0,1.0,51,0
AC06225,6.0,4.0,EPIGASTRIC DISCOMFORT,NONE,NO,EMC,1,0.0,1.0,51,0
AC06225,6.0,4.0,EPIGASTRIC DISCOMFORT,NONE,NO,EMC,59,0.0,1.0,51,0
AC06225,6.0,4.0,EPIGASTRIC DISCOMFORT,NONE,NO,CMC,1,5.0,1.0,51,1
AC06225,3.0,9.0,TREATMENT FOR LIVER ABSCESS,NONE,NO,CMC,12,315.0,336.0,51,1
AC06225,2.0,12.0,TREATMENT FOR SPOUSE,NONE,NO,EL,2,308.0,356.0,51,1
AC06225,5.0,8.0,HEALTH ISSUE,NONE,NO,CMC,2,305.0,317.0,51,1
AC06225,3.0,11.0,MEDICAL GROUNDS,NONE,NO,CMC,4,297.0,322.0,51,1
AC06225,7.0,1.0,DAUGHTERS MARRIAGE,NONE,NO,EL,3,292.0,336.0,51,1
AC06225,3.0,5.0,PERSONAL,NONE,NO,EL,2,299.0,352.0,51,1
AC06225,4.0,4.0,MEDICAL,NONE,NO,CMC,8,315.0,330.0,51,1
AC06225,5.0,2.0,MEDICAL EXIGENCY,NONE,NO,EL,5,310.0,352.0,51,1
AC06225,2.0,2.0,HOSPITALISED,NONE,NO,CMC,5,315.0,356.0,51,1
AC06225,3.0,12.0,MEDICAL,NONE,NO,CMC,2,310.0,358.0,51,1
AC06225,3.0,12.0,MEDICAL EMERGENCY,NONE,NO,CMC,1,310.0,356.0,51,1
AC06225,3.0,2.0,TESTED POSITIVE,NONE,NO,CMC,15,315.0,320.0,51,1
AC06225,2.0,7.0,MEDICAL EXIGENCYT,NONE,NO,EL,2,310.0,332.0,51,1
AC06435,4.0,2.0,LTC TO API,NONE,NO,EL,10,305.0,562.0,25,1
AC06435,4.0,5.0,RELIGIOUS TOUR AND VISIT TO HT,NONE,NO,EL,9,299.0,574.0,25,1
AC06435,5.0,1.0,SOCIAL FUNCTIONS,NONE,NO,EL,5,310.0,554.0,25,1
AC06435,2.0,10.0,TO BRING WIFE  ON TRANSFER,NONE,NO,EL,5,310.0,552.0,25,1
AC06435,6.0,1.0,LTC TO IN LIEU OF HT (NER),NONE,NO,EL,12,298.0,554.0,25,1
AC06435,4.0,3.0,MEDICAL GROUNDS,NONE,NO,CMC,3,295.0,556.0,25,1
AC06435,6.0,11.0,DIWALI & GUJARAT NEW YEAR,NONE,NO,EL,5,305.0,552.0,25,1
AC06435,6.0,11.0,PERSONAL VISIT TO AHMBAD,NONE,NO,EL,3,296.0,564.0,25,1
AC06435,4.0,3.0,VISIT TO AHMEDABAD,NONE,NO,EL,3,308.0,574.0,25,1
AC06435,5.0,4.0,MEDICAL,NONE,NO,CMC,11,295.0,534.0,25,1
